Item_Identifier,Outlet_Identifier,sales_predictions
FDZ36,OUT027,4471.5
FDK27,OUT045,1967.0
FDW23,OUT018,1014.0
FDM14,OUT018,2215.5
FDM14,OUT013,1520.5
FDW60,OUT018,3323.0
FDE21,OUT013,1636.0
NCM42,OUT035,1363.0
FDY59,OUT010,-29.5
DRI49,OUT049,1483.0
FDT28,OUT019,1122.5
FDQ22,OUT018,1090.5
FDR60,OUT049,1449.5
FDC50,OUT019,63.5
FDV24,OUT013,2081.5
DRF48,OUT010,1550.5
FDQ47,OUT046,432.0
DRN36,OUT049,1917.5
NCY06,OUT035,1610.0
FDE52,OUT035,1106.5
NCB54,OUT045,2002.0
NCF31,OUT035,2002.0
FDJ08,OUT027,4320.0
NCC07,OUT017,1407.5
NCD19,OUT027,2327.0
FDL46,OUT049,2287.5
FDM20,OUT045,3884.0
NCI06,OUT010,1272.0
DRM11,OUT035,3687.5
NCH07,OUT018,2852.0
FDS23,OUT013,1682.0
FDO49,OUT018,1290.0
FDS35,OUT049,1304.0
DRK39,OUT045,1351.0
DRI39,OUT049,1244.0
FDV04,OUT017,2108.5
NCN14,OUT035,2406.0
FDH08,OUT013,3435.5
FDS20,OUT046,2821.5
FDV40,OUT049,1590.5
FDZ48,OUT010,119.0
FDS24,OUT027,2844.0
FDK44,OUT049,2984.5
FDS48,OUT045,2441.5
FDK26,OUT010,1471.5
FDD23,OUT045,3023.0
NCH54,OUT017,2208.0
NCP14,OUT010,-24.0
FDM60,OUT010,-869.5
FDV24,OUT017,2019.5
FDH08,OUT018,4065.0
FDS12,OUT027,3263.5
FDR39,OUT027,4214.5
FDP12,OUT027,2071.0
DRF60,OUT027,5161.5
FDC09,OUT035,1313.0
FDF50,OUT018,3456.5
FDG28,OUT035,3487.0
NCE19,OUT017,530.0
NCM53,OUT010,130.0
NCN18,OUT049,2164.0
FDF32,OUT035,2707.0
FDF11,OUT013,3614.0
DRI59,OUT049,3928.0
NCG54,OUT035,2224.5
FDM44,OUT046,1578.0
FDT57,OUT018,4173.0
FDV24,OUT046,2259.5
FDI50,OUT019,2447.0
FDS09,OUT035,438.5
NCC31,OUT027,3890.0
FDQ07,OUT019,2172.5
FDC22,OUT017,2656.0
FDZ56,OUT046,2642.0
FDZ40,OUT019,-338.5
FDS46,OUT027,3345.5
DRD24,OUT045,2278.0
FDV45,OUT017,2683.0
FDL26,OUT045,2420.5
FDA56,OUT018,2426.5
FDN27,OUT046,1822.0
FDM20,OUT049,4207.0
FDO16,OUT017,1075.0
FDL03,OUT035,2757.5
FDE58,OUT046,1788.0
FDI02,OUT027,3156.5
NCC55,OUT019,-637.0
FDR03,OUT018,3763.5
FDB14,OUT017,1145.5
FDR45,OUT013,3570.0
NCN07,OUT017,1767.5
FDM51,OUT019,501.0
FDT52,OUT027,5318.0
FDL26,OUT046,2340.5
NCZ42,OUT046,3744.0
DRI47,OUT019,1170.5
FDW40,OUT013,1958.0
FDN34,OUT046,2727.0
FDS01,OUT035,2456.0
NCG55,OUT045,1845.0
FDC11,OUT035,859.5
FDX35,OUT018,3993.0
NCB06,OUT046,2416.0
FDR09,OUT019,2782.0
FDC53,OUT017,1301.5
FDY45,OUT013,3828.5
FDA22,OUT010,1010.5
FDE02,OUT035,1019.0
FDW21,OUT045,1717.0
FDV34,OUT046,1224.0
FDS59,OUT049,2129.0
NCW17,OUT017,1755.0
NCK54,OUT046,1820.0
FDG17,OUT019,2690.5
FDG35,OUT017,2543.0
FDD08,OUT010,-913.5
NCO07,OUT017,3073.0
FDJ10,OUT010,549.5
FDW36,OUT017,1343.5
FDW21,OUT010,207.0
FDY19,OUT017,1577.0
DRE03,OUT013,581.0
NCC55,OUT049,939.5
FDH52,OUT010,-481.5
FDO09,OUT017,3802.0
FDU43,OUT045,3796.0
FDX09,OUT010,1155.5
FDH40,OUT019,73.5
FDW58,OUT017,1412.0
FDC47,OUT017,3175.5
NCR41,OUT035,1135.0
DRG49,OUT035,3457.5
FDC52,OUT027,3927.5
FDY13,OUT046,1161.0
FDY35,OUT013,564.0
FDI35,OUT017,2575.0
NCU18,OUT049,2557.5
FDY33,OUT018,2904.0
FDC15,OUT027,3724.5
FDU01,OUT049,3391.5
NCU42,OUT046,2652.0
NCV29,OUT018,3250.0
NCY30,OUT017,2602.0
FDQ46,OUT049,2046.5
FDG58,OUT027,3843.0
FDK33,OUT017,3105.0
NCD07,OUT045,1818.5
NCX29,OUT027,3635.5
NCT42,OUT013,2128.5
DRN59,OUT035,356.5
FDI44,OUT035,789.5
FDA45,OUT049,2995.5
FDP31,OUT045,942.0
FDY01,OUT046,1651.0
FDT09,OUT018,2621.0
DRH03,OUT027,3024.5
FDA36,OUT018,3425.5
NCF31,OUT017,2114.0
FDG14,OUT049,2781.0
FDG28,OUT027,5325.0
FDU14,OUT049,4287.0
FDY47,OUT019,881.5
FDI56,OUT049,1722.0
DRD01,OUT013,732.5
FDM22,OUT046,945.5
FDH33,OUT013,342.0
DRZ24,OUT013,1622.5
NCQ38,OUT046,1652.5
FDO16,OUT027,2803.0
FDU07,OUT027,3758.0
NCB07,OUT013,2766.0
FDU48,OUT045,2075.5
NCM43,OUT045,2636.0
FDR31,OUT010,768.5
DRK49,OUT018,1140.5
NCI30,OUT010,2241.5
DRD60,OUT017,2602.5
NCG19,OUT046,3492.0
FDH12,OUT035,1221.0
FDM32,OUT035,1094.0
FDM27,OUT035,1964.0
NCU53,OUT027,4091.5
NCQ18,OUT046,1389.5
FDS10,OUT013,2592.0
FDB33,OUT027,3948.5
FDI12,OUT013,1105.5
NCW42,OUT013,3213.0
NCC06,OUT018,2474.5
FDW02,OUT017,1766.0
NCD43,OUT017,1398.5
FDM57,OUT018,1758.0
FDA58,OUT017,3350.5
FDK56,OUT046,2749.0
FDP52,OUT045,3748.5
FDW20,OUT018,2411.5
FDS52,OUT049,1999.0
NCT29,OUT018,2290.0
NCL54,OUT013,2484.5
FDC05,OUT045,3101.5
FDF34,OUT035,2801.5
FDP03,OUT027,3420.5
FDD32,OUT010,-174.5
FDZ10,OUT045,2081.0
FDZ40,OUT035,490.0
FDD51,OUT018,1034.5
NCY30,OUT019,1648.5
FDP58,OUT017,3010.0
FDV49,OUT017,3886.5
FDY24,OUT019,-537.5
NCO55,OUT017,1336.0
FDR13,OUT017,1631.0
FDS51,OUT017,721.0
FDP26,OUT045,1539.5
NCB54,OUT027,3452.5
FDF32,OUT017,2775.5
FDN31,OUT018,3366.5
DRM48,OUT017,235.0
FDN20,OUT049,3033.0
DRL01,OUT046,3754.5
FDV56,OUT049,2140.5
DRH13,OUT027,3193.0
FDA03,OUT017,2053.0
FDF47,OUT027,4870.0
FDX32,OUT046,2234.5
FDX57,OUT049,1925.0
NCA30,OUT045,2877.0
FDO49,OUT013,627.5
FDL04,OUT019,286.0
DRM48,OUT035,154.5
FDR16,OUT013,3073.0
NCC19,OUT018,3384.5
NCE42,OUT045,3741.0
FDY24,OUT017,526.0
FDH19,OUT049,3123.5
FDJ46,OUT013,2495.0
FDN45,OUT010,1798.5
FDY08,OUT035,1697.5
FDZ37,OUT035,1076.5
NCT30,OUT045,719.5
DRY23,OUT018,1105.0
NCZ30,OUT018,2376.5
FDC44,OUT018,2043.0
FDB45,OUT035,1295.0
FDY04,OUT013,2386.0
FDM27,OUT046,2568.5
FDZ43,OUT017,3533.5
FDT39,OUT019,1295.5
NCC06,OUT019,822.0
FDL15,OUT027,3844.0
FDL57,OUT017,3770.5
FDU08,OUT046,1542.5
FDK40,OUT017,3890.5
FDQ12,OUT010,2065.5
FDS48,OUT017,2116.0
FDP09,OUT045,3351.5
FDW21,OUT049,2030.5
FDY25,OUT035,2476.0
DRE13,OUT017,1131.5
FDV43,OUT019,-602.5
FDD22,OUT045,1703.0
FDM46,OUT019,-24.5
NCO30,OUT010,1410.5
FDM25,OUT046,2717.5
NCN41,OUT049,2271.5
FDU24,OUT045,1412.0
FDZ50,OUT046,2846.0
FDP45,OUT013,3779.5
NCM54,OUT045,1982.5
FDW10,OUT019,1480.5
FDP20,OUT017,1725.0
FDK32,OUT046,2376.0
FDN52,OUT049,1676.5
FDM58,OUT045,1876.5
FDZ46,OUT027,3146.5
NCA18,OUT018,2261.0
FDD35,OUT046,1904.0
NCK31,OUT035,427.0
FDI40,OUT027,2959.0
FDT50,OUT019,231.0
NCT06,OUT046,2545.5
FDT31,OUT035,2606.0
FDT45,OUT049,1184.5
FDT13,OUT045,2987.0
FDO50,OUT045,1404.0
NCU18,OUT010,632.5
NCR54,OUT049,3345.0
NCO18,OUT018,3255.5
FDU09,OUT045,936.5
FDT13,OUT018,3414.5
FDE09,OUT046,1762.5
NCK53,OUT019,396.5
FDG45,OUT049,3767.5
DRH15,OUT035,284.0
FDO21,OUT019,2439.0
FDD14,OUT027,4152.0
FDC09,OUT046,1654.0
FDH45,OUT027,2093.5
FDV32,OUT046,934.5
FDG12,OUT035,1602.5
FDS32,OUT013,2044.5
NCL55,OUT018,4338.0
DRE01,OUT035,3299.0
DRE15,OUT049,1646.5
NCL42,OUT045,3880.5
FDP31,OUT013,671.5
FDN33,OUT018,1860.5
FDZ59,OUT046,2521.0
FDE45,OUT010,1262.0
FDJ07,OUT013,1682.5
FDQ45,OUT018,3432.0
FDM33,OUT027,4810.0
FDO15,OUT010,-216.0
FDM46,OUT013,1077.0
FDR03,OUT045,3340.5
FDY49,OUT018,3143.5
FDQ60,OUT045,1853.0
FDW10,OUT049,3178.5
FDO51,OUT049,1131.0
FDJ40,OUT018,2195.5
FDS20,OUT018,3287.0
FDU45,OUT013,1605.5
FDV02,OUT035,2253.5
FDN09,OUT046,3768.0
NCM55,OUT027,4325.5
FDN23,OUT018,2723.5
FDY31,OUT010,742.0
FDW03,OUT010,235.5
FDD14,OUT046,2658.5
FDV23,OUT017,1613.0
DRI03,OUT045,2842.0
FDN13,OUT035,1032.5
FDF45,OUT027,2480.0
FDU46,OUT035,1099.5
FDB57,OUT049,3925.0
FDV12,OUT049,2040.0
FDQ58,OUT013,2191.5
NCA18,OUT017,1523.5
FDH52,OUT049,1447.5
FDM24,OUT018,2804.0
NCP43,OUT027,4289.5
NCO18,OUT019,1603.0
FDM32,OUT017,1187.0
NCL07,OUT017,339.0
FDK03,OUT013,3749.5
FDP59,OUT017,1360.0
FDQ24,OUT049,4344.5
FDQ16,OUT018,2163.5
FDU44,OUT013,2327.5
FDH28,OUT010,-1029.0
FDV28,OUT019,-862.5
FDM22,OUT045,928.5
FDR56,OUT046,3006.0
FDV39,OUT049,3498.5
FDU37,OUT019,-29.5
FDQ11,OUT010,2630.5
FDX02,OUT045,3500.5
NCS42,OUT018,1861.0
FDY57,OUT027,2873.5
FDB21,OUT049,4007.5
FDE28,OUT017,3252.0
FDQ55,OUT017,1597.5
FDA48,OUT049,3750.0
FDZ19,OUT045,2690.5
NCC43,OUT045,3900.0
NCV18,OUT046,1168.5
NCA42,OUT018,2955.5
FDY45,OUT046,3997.0
NCC30,OUT045,2837.0
FDM57,OUT013,1130.5
FDL09,OUT010,924.5
FDB09,OUT027,3380.5
FDT44,OUT035,1406.5
NCT06,OUT027,4015.0
FDX26,OUT049,3171.5
FDK32,OUT013,2219.5
DRA12,OUT046,2244.5
FDO46,OUT010,1525.0
FDE52,OUT013,1214.5
NCH42,OUT045,3632.5
FDV08,OUT035,318.5
FDB47,OUT018,3706.0
FDC28,OUT010,174.5
FDD22,OUT046,1677.0
FDS07,OUT027,3173.0
DRI13,OUT045,3482.0
FDG32,OUT018,3744.5
FDU14,OUT017,3649.5
FDD28,OUT019,-294.5
NCP41,OUT017,1474.5
FDS08,OUT049,3093.5
FDX47,OUT045,2560.5
FDC53,OUT019,463.0
FDQ19,OUT035,3493.5
FDL14,OUT045,2521.5
FDM33,OUT019,2154.0
FDA51,OUT045,1688.0
FDZ27,OUT018,1255.5
FDT04,OUT046,532.0
DRC13,OUT049,2425.5
FDR16,OUT027,4768.0
FDQ03,OUT027,5140.5
FDE38,OUT035,2257.5
DRH23,OUT027,2201.0
FDT11,OUT019,1825.5
FDD09,OUT035,2470.5
FDR40,OUT045,1428.5
FDX07,OUT017,2674.5
FDR07,OUT035,1097.5
FDA51,OUT017,1405.5
FDT59,OUT019,2470.0
FDF20,OUT017,2794.5
FDR13,OUT045,1900.5
FDY26,OUT049,3719.0
FDW04,OUT017,1796.5
FDK52,OUT017,3223.0
FDN60,OUT049,2755.0
FDM09,OUT019,1425.0
FDP46,OUT049,1703.0
FDB50,OUT019,-220.0
NCQ29,OUT049,4322.5
FDP16,OUT027,5285.5
FDX33,OUT018,2920.5
FDP07,OUT010,1618.5
FDN22,OUT046,3811.0
FDF39,OUT049,4568.0
FDS21,OUT017,763.0
NCM42,OUT013,1482.0
FDK50,OUT019,1398.5
DRF13,OUT027,3796.5
FDH35,OUT018,2986.5
FDP60,OUT018,1988.0
DRJ49,OUT027,3556.5
NCT42,OUT019,1164.0
FDE38,OUT049,2995.5
FDI04,OUT049,3484.5
NCH54,OUT045,2450.0
FDT56,OUT049,1245.0
DRD15,OUT018,4096.0
FDV58,OUT013,2869.0
FDP21,OUT049,3374.5
FDH05,OUT013,3406.0
FDR10,OUT027,4019.0
NCP06,OUT045,2359.5
FDF33,OUT049,2072.0
DRK37,OUT013,2827.5
DRH49,OUT045,1438.0
FDT58,OUT013,2347.5
FDD41,OUT018,2078.0
FDP40,OUT018,2247.5
FDM51,OUT027,3114.0
FDO45,OUT010,-115.0
FDW33,OUT010,8.5
FDY24,OUT045,997.5
FDB10,OUT010,2125.5
FDM40,OUT035,1688.5
NCI06,OUT017,2546.5
FDW12,OUT019,1121.0
FDX48,OUT027,3927.0
NCW05,OUT027,2972.0
FDX27,OUT017,1169.0
DRM37,OUT045,3085.0
FDA38,OUT045,3833.0
FDR36,OUT046,551.0
FDZ45,OUT046,3046.0
FDG05,OUT017,2199.5
FDK28,OUT013,3798.0
FDV47,OUT045,1355.5
FDN21,OUT045,2488.5
FDP20,OUT027,3434.0
FDI35,OUT045,2872.5
DRY23,OUT013,463.0
FDA56,OUT017,1703.5
FDB09,OUT013,1691.5
NCO26,OUT027,3230.5
FDQ49,OUT018,2950.0
FDI52,OUT027,3278.0
FDZ44,OUT027,3292.0
FDZ09,OUT018,2931.5
FDY03,OUT049,2144.0
NCG42,OUT017,1755.5
DRI13,OUT027,4918.0
FDQ32,OUT013,1794.0
FDW16,OUT035,1107.5
FDU27,OUT046,582.0
FDR28,OUT010,1104.0
FDQ49,OUT010,996.0
FDS37,OUT046,1810.0
FDW26,OUT018,3858.0
FDX12,OUT018,4288.0
NCP06,OUT013,2135.5
FDW45,OUT010,745.5
NCN30,OUT049,1879.0
FDN24,OUT049,1108.0
NCL41,OUT027,1961.0
FDR02,OUT019,572.0
FDD09,OUT010,1345.5
FDS33,OUT010,-20.0
FDU22,OUT045,1832.5
FDI53,OUT013,2249.5
DRH01,OUT049,3072.0
FDX32,OUT013,1992.5
NCP30,OUT018,1080.0
FDB60,OUT045,3114.5
FDB14,OUT049,1797.5
NCP02,OUT035,539.0
FDJ10,OUT017,1864.0
FDG34,OUT046,1815.0
NCB18,OUT017,1099.0
FDM16,OUT049,1603.5
FDW25,OUT018,1783.0
FDB35,OUT010,-100.0
DRN11,OUT013,1896.5
FDF41,OUT019,2470.5
FDH16,OUT045,1400.5
NCQ50,OUT018,3772.5
DRH23,OUT018,1203.0
DRJ37,OUT013,2170.5
DRJ24,OUT027,4271.0
FDY16,OUT035,2478.0
FDQ27,OUT045,1732.0
FDZ33,OUT045,2266.5
FDF29,OUT045,2166.0
FDA08,OUT049,2964.0
FDG31,OUT046,1056.5
FDE34,OUT019,1777.5
NCR30,OUT027,2559.0
FDV33,OUT035,3739.0
DRZ24,OUT018,2429.0
NCL54,OUT035,2282.5
FDR12,OUT049,3141.0
NCC54,OUT046,3665.5
DRN59,OUT013,599.5
FDX50,OUT019,457.5
FDV31,OUT027,4148.5
NCA29,OUT027,4163.5
FDW60,OUT049,3228.0
FDX08,OUT017,2612.0
DRD49,OUT013,3341.5
FDD33,OUT046,3495.5
FDW35,OUT013,497.0
FDJ36,OUT017,1275.0
FDV51,OUT035,2245.5
FDW36,OUT046,1622.0
FDH35,OUT046,2529.0
NCS30,OUT027,3420.5
FDN49,OUT017,268.5
FDL08,OUT018,4286.0
FDI09,OUT013,3461.5
FDP19,OUT018,2295.5
FDU21,OUT010,-1036.0
NCP41,OUT045,1743.0
FDY10,OUT013,1537.0
FDP12,OUT018,1073.5
NCN26,OUT049,2202.5
FDK44,OUT013,2400.5
FDC28,OUT049,2067.0
FDJ41,OUT027,5587.0
NCT29,OUT035,1529.0
NCH42,OUT019,2384.0
FDU60,OUT018,3085.5
FDS02,OUT045,2959.0
FDC51,OUT046,1997.5
FDU03,OUT013,2619.5
FDX39,OUT045,3379.5
NCY05,OUT010,-988.5
NCL06,OUT027,5460.5
FDD32,OUT035,994.0
NCN41,OUT045,1928.5
NCX53,OUT049,2612.0
FDU57,OUT019,1088.5
FDQ23,OUT046,1632.5
FDQ52,OUT045,3811.0
FDC14,OUT045,715.0
FDY09,OUT035,2418.5
FDQ28,OUT045,2502.5
FDV25,OUT046,3428.0
FDJ07,OUT035,1495.0
DRB25,OUT049,2029.0
FDK52,OUT019,2240.5
FDY52,OUT027,2488.5
FDB28,OUT046,2999.5
FDT36,OUT035,107.5
FDV25,OUT017,3204.5
NCN07,OUT027,3493.5
FDC57,OUT017,2782.5
FDQ03,OUT018,4149.5
FDU23,OUT017,2375.0
NCX41,OUT035,2978.0
NCD06,OUT035,282.0
FDW08,OUT045,1555.0
NCU29,OUT017,2022.0
NCE06,OUT013,2233.5
FDV52,OUT010,177.5
FDB02,OUT017,2566.0
NCR18,OUT045,728.0
FDK16,OUT049,1913.0
NCQ29,OUT010,2360.5
FDZ01,OUT019,561.0
FDW27,OUT035,1994.0
FDD17,OUT018,4185.5
FDW39,OUT013,2610.5
DRH59,OUT045,1182.0
FDS52,OUT013,1433.5
FDU40,OUT027,4506.5
NCF54,OUT013,2483.5
FDH46,OUT045,1698.0
NCP14,OUT049,1897.0
FDH50,OUT049,3375.5
DRF15,OUT010,920.5
FDV27,OUT027,2873.0
NCJ06,OUT049,2251.5
FDN02,OUT018,3616.0
FDQ51,OUT049,1179.5
FDQ07,OUT017,3199.5
FDS45,OUT049,2093.5
NCJ06,OUT045,1926.0
FDD36,OUT035,1496.5
FDY25,OUT045,2897.0
FDU52,OUT046,2371.5
DRK47,OUT017,3286.5
NCL30,OUT017,1722.0
FDN22,OUT035,3480.5
NCF30,OUT027,3301.0
FDK03,OUT035,3642.5
FDT45,OUT017,576.0
NCC54,OUT027,5108.0
FDP08,OUT018,3452.5
FDU44,OUT046,2555.5
DRG39,OUT035,495.0
FDU32,OUT049,2306.5
FDY27,OUT049,3226.5
NCP54,OUT013,1713.5
NCZ41,OUT049,2308.5
DRL49,OUT013,2044.0
FDI05,OUT018,1587.0
FDY56,OUT045,3590.0
DRC13,OUT013,1843.0
NCV29,OUT017,2560.5
FDR24,OUT049,1786.0
FDZ34,OUT018,3400.5
FDP37,OUT035,1470.5
FDX08,OUT027,4304.0
FDS57,OUT045,2156.5
NCG18,OUT049,1994.5
FDK25,OUT018,2985.5
FDH53,OUT049,1719.5
DRI59,OUT018,3973.0
FDA52,OUT046,2673.5
FDT20,OUT010,-921.5
FDE36,OUT019,1403.0
FDI24,OUT017,2415.5
FDB28,OUT018,3499.0
FDV11,OUT017,2497.5
FDP01,OUT046,2401.0
FDD34,OUT027,4013.5
FDJ50,OUT027,2296.5
FDZ44,OUT013,1651.0
DRO59,OUT035,839.0
DRB48,OUT045,754.0
FDR21,OUT018,3153.5
NCE42,OUT010,2198.0
FDO23,OUT046,1290.0
NCE30,OUT018,3682.0
FDQ22,OUT035,242.5
FDY01,OUT045,1711.0
FDS08,OUT017,2498.0
FDG28,OUT018,4349.5
FDQ51,OUT018,1293.0
FDB05,OUT017,3578.5
FDO56,OUT049,2246.5
FDE02,OUT018,1955.0
FDN45,OUT017,3110.0
FDS09,OUT013,557.5
NCA54,OUT018,3286.0
FDP09,OUT010,1809.5
FDC53,OUT045,1631.5
NCM55,OUT017,2606.0
FDL09,OUT018,3022.0
FDA11,OUT019,267.0
FDA50,OUT045,1447.0
FDC23,OUT017,2561.0
FDE22,OUT049,2877.0
FDD23,OUT046,2939.5
NCA29,OUT049,3088.0
FDK38,OUT046,2263.5
DRC13,OUT046,1978.5
NCP43,OUT049,3179.0
FDX28,OUT049,1823.5
FDF08,OUT049,1799.0
FDZ33,OUT046,2224.0
FDD10,OUT049,3205.0
FDO58,OUT017,2272.0
FDI50,OUT017,3398.5
FDO58,OUT045,2621.5
FDX08,OUT013,2643.5
NCK17,OUT010,-882.0
FDF39,OUT035,3807.5
FDU45,OUT010,289.0
NCJ18,OUT018,2116.5
DRC27,OUT019,2650.0
DRC25,OUT035,1001.5
FDU59,OUT035,2075.0
FDU28,OUT035,2701.5
NCP30,OUT046,621.0
FDB39,OUT018,1324.5
FDE41,OUT013,1165.0
DRH11,OUT010,-684.0
FDA58,OUT045,3636.0
FDU50,OUT046,1789.5
FDM34,OUT013,1776.0
FDM44,OUT027,3061.5
FDR39,OUT045,2841.0
FDM25,OUT045,2804.0
FDQ49,OUT049,2869.0
DRH25,OUT018,1341.5
FDM09,OUT027,4112.0
FDL44,OUT019,1402.0
NCR42,OUT018,965.0
DRL59,OUT046,862.0
FDX43,OUT013,2365.5
DRK47,OUT010,1997.0
FDU48,OUT018,2490.5
FDY12,OUT045,737.0
NCN43,OUT018,2413.0
NCM55,OUT018,3286.0
FDQ21,OUT027,3434.5
FDX13,OUT035,3550.0
NCK30,OUT027,5373.0
FDG20,OUT049,3047.5
DRG27,OUT017,312.0
FDY14,OUT018,4543.5
FDP59,OUT035,1268.0
FDU60,OUT017,2482.0
NCC18,OUT019,1166.5
DRJ39,OUT017,3177.0
FDS07,OUT049,2069.0
FDM08,OUT027,4960.0
FDP51,OUT045,1906.0
FDU16,OUT035,942.5
FDH12,OUT013,1398.0
DRE48,OUT010,1625.0
NCL42,OUT027,5260.5
FDR21,OUT045,2768.5
NCW29,OUT035,1700.0
FDO11,OUT013,3772.0
NCM31,OUT049,2525.0
FDV35,OUT019,1030.5
FDF58,OUT017,747.0
NCE43,OUT049,2925.0
FDA02,OUT035,1951.0
DRL37,OUT010,-824.5
FDR24,OUT018,1901.0
FDW59,OUT049,1699.5
FDS22,OUT049,1153.5
FDW24,OUT017,526.5
FDU24,OUT035,1036.5
FDA21,OUT027,4372.0
FDH58,OUT027,3287.0
FDW36,OUT018,2059.0
FDI45,OUT027,4161.0
FDU01,OUT018,3460.0
FDF35,OUT027,3004.0
FDU43,OUT019,2530.5
FDE24,OUT019,941.0
FDK50,OUT049,2943.5
FDG31,OUT045,1028.0
FDC60,OUT045,1401.0
FDL36,OUT013,1153.0
FDP21,OUT013,2827.5
FDW16,OUT045,1499.0
FDX02,OUT017,3221.5
FDQ58,OUT027,3896.0
FDT51,OUT046,1803.5
FDD59,OUT049,1630.5
NCM42,OUT018,2177.0
FDA57,OUT018,1087.5
FDZ48,OUT035,1442.5
FDE46,OUT045,2447.5
NCZ30,OUT019,731.5
FDB56,OUT017,2684.5
FDA25,OUT027,3100.0
FDD20,OUT013,1803.5
FDL25,OUT013,1168.0
NCO18,OUT049,3157.5
FDJ45,OUT017,236.5
FDR12,OUT035,2362.5
NCF19,OUT010,-776.5
FDK25,OUT046,2471.0
NCR17,OUT046,1779.5
FDC52,OUT046,2448.5
NCA54,OUT017,2565.5
FDR45,OUT010,2242.5
NCM19,OUT049,2132.5
FDF39,OUT027,5646.0
FDX23,OUT049,1907.0
FDD58,OUT027,2986.0
FDX28,OUT013,1252.0
NCD31,OUT013,2359.0
FDU57,OUT018,2798.0
FDI27,OUT046,740.5
NCM42,OUT046,1683.5
FDD32,OUT027,2775.0
FDI34,OUT013,3357.0
NCM29,OUT049,2432.5
FDG46,OUT018,2285.5
